RF_KO,name,definition,pathways,Share(+),Only_one(+),Neither(+),Share(-),Only_one(-),Neither(-),Num_of_genomes
K03980,"murJ, mviN",putative peptidoglycan lipid II flippase,,15.39,13.53,71.08,41.23,46.49,12.28,8024
K03179,ubiA,4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39],"{'ko00130': 'Ubiquinone and other terpenoid-quinone biosynthesis', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways'}",11.29,5.9,82.81,32.63,49.48,17.89,7196
K01255,"CARP, pepA",leucyl aminopeptidase [EC:3.4.11.1],"{'ko00480': 'Glutathione metabolism', 'ko01100': 'Metabolic pathways'}",15.92,12.98,71.1,47.16,43.85,8.99,8483
K03816,xpt,xanthine phosphoribosyltransferase [EC:2.4.2.22],"{'ko00230': 'Purine metabolism', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways'}",69.3,16.88,13.82,8.18,42.11,49.71,3383
K01724,"PCBD, phhB",4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96],{'ko00790': 'Folate biosynthesis'},8.14,4.27,87.59,26.06,49.84,24.1,6356
K06886,glbN,hemoglobin,,9.63,6.59,83.78,29.49,50.31,20.2,6850
K07305,msrB,peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12],,21.05,8.11,70.84,48.67,42.13,9.2,8567
K01903,sucC,succinyl-CoA synthetase beta subunit [EC:6.2.1.5],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00640': 'Propanoate metabolism', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko00020': 'Citrate cycle (TCA cycle)', 'ko01200': 'Carbon metabolism', 'ko01100': 'Metabolic pathways', 'ko01130': 'Biosynthesis of antibiotics', 'ko00660': 'C5-Branched dibasic acid metabolism'}",16.93,12.33,70.74,52.76,39.88,7.36,9186
K01589,purK,5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18],"{'ko00230': 'Purine metabolism', 'ko01130': 'Biosynthesis of antibiotics', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways'}",23.34,12.64,64.02,57.44,36.45,6.11,9390
K01011,"TST, MPST, sseA",thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko04122': 'Sulfur relay system', 'ko00920': 'Sulfur metabolism', 'ko00270': 'Cysteine and methionine metabolism', 'ko01100': 'Metabolic pathways'}",14.09,4.36,81.55,31.94,49.3,18.76,7105
K00573,"E2.1.1.77, pcm",protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77],,8.16,4.5,87.34,24.04,50.69,25.27,6158
K03074,secF,preprotein translocase subunit SecF,"{'ko03060': 'Protein export', 'ko03070': 'Bacterial secretion system'}",14.04,12.88,73.08,35.51,48.12,16.37,7432
K00161,"PDHA, pdhA",pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko04066': 'HIF-1 signaling pathway', 'ko00620': 'Pyruvate metabolism', 'ko00010': 'Glycolysis / Gluconeogenesis', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko04922': 'Glucagon signaling pathway', 'ko01200': 'Carbon metabolism', 'ko05230': 'Central carbon metabolism in cancer', 'ko01130': 'Biosynthesis of antibiotics', 'ko01100': 'Metabolic pathways', 'ko00020': 'Citrate cycle (TCA cycle)'}",14.64,10.38,74.98,34.54,49.12,16.34,7446
K07152,SCO1_2,protein SCO1/2,,8.18,4.3,87.52,23.88,50.93,25.19,6140
K00254,"DHODH, pyrD",dihydroorotate dehydrogenase [EC:1.3.5.2],"{'ko00240': 'Pyrimidine metabolism', 'ko01100': 'Metabolic pathways'}",14.64,10.3,75.06,39.71,47.02,13.27,8021
K17828,pyrDI,dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14],"{'ko00240': 'Pyrimidine metabolism', 'ko01100': 'Metabolic pathways'}",72.53,11.63,15.84,11.56,45.17,43.27,4201
K03635,"MOCS2B, moaE",molybdopterin synthase catalytic subunit [EC:2.8.1.12],"{'ko04122': 'Sulfur relay system', 'ko00790': 'Folate biosynthesis', 'ko01100': 'Metabolic pathways'}",13,6.48,80.52,32,49.18,18.82,7210
K00332,nuoC,NADH-quinone oxidoreductase subunit C [EC:1.6.5.3],"{'ko00190': 'Oxidative phosphorylation', 'ko01100': 'Metabolic pathways'}",7.48,6.65,85.87,21.04,50.79,28.17,5947
K03820,lnt,apolipoprotein N-acyltransferase [EC:2.3.1.-],,11.48,9.47,79.05,29.76,50.07,20.17,7031
K07304,msrA,peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11],,23.58,11.96,64.46,55.62,37.61,6.77,9246
K00162,"PDHB, pdhB",pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko04066': 'HIF-1 signaling pathway', 'ko00620': 'Pyruvate metabolism', 'ko00010': 'Glycolysis / Gluconeogenesis', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko04922': 'Glucagon signaling pathway', 'ko01200': 'Carbon metabolism', 'ko05230': 'Central carbon metabolism in cancer', 'ko01130': 'Biosynthesis of antibiotics', 'ko01100': 'Metabolic pathways', 'ko00020': 'Citrate cycle (TCA cycle)'}",14.7,10.36,74.94,34.32,49.31,16.37,7446
K03737,"por, nifJ",pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00620': 'Pyruvate metabolism', 'ko00650': 'Butanoate metabolism', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01100': 'Metabolic pathways', 'ko01200': 'Carbon metabolism', 'ko00020': 'Citrate cycle (TCA cycle)', 'ko01130': 'Biosynthesis of antibiotics', 'ko00010': 'Glycolysis / Gluconeogenesis'}",62.28,15.76,21.96,6.5,38.64,54.86,3153
K00333,nuoD,NADH-quinone oxidoreductase subunit D [EC:1.6.5.3],"{'ko00190': 'Oxidative phosphorylation', 'ko01100': 'Metabolic pathways'}",7.85,7.16,84.99,22.54,50.89,26.57,6137
K00658,"DLST, sucB",2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko01200': 'Carbon metabolism', 'ko00310': 'Lysine degradation', 'ko01100': 'Metabolic pathways', 'ko01130': 'Biosynthesis of antibiotics', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko00020': 'Citrate cycle (TCA cycle)'}",17.63,11.37,71,48.18,42.8,9.02,8749
K03644,lipA,lipoyl synthase [EC:2.8.1.8],"{'ko00785': 'Lipoic acid metabolism', 'ko01100': 'Metabolic pathways'}",24.34,11.88,63.78,57.15,37,5.85,9650
K03636,"moaD, cysO",sulfur-carrier protein,{'ko04122': 'Sulfur relay system'},11.07,8.59,80.34,31.84,48.83,19.33,7025
K03593,"mrp, NUBPL",ATP-binding protein involved in chromosome partitioning,,28.09,8.15,63.76,58.92,36.01,5.07,9739
K01493,comEB,dCMP deaminase [EC:3.5.4.12],"{'ko00240': 'Pyrimidine metabolism', 'ko01100': 'Metabolic pathways'}",76.67,9.33,14,18.82,49.01,32.17,5374
K00632,"fadA, fadI",acetyl-CoA acyltransferase [EC:2.3.1.16],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00280': 'Valine, leucine and isoleucine degradation', 'ko00642': 'Ethylbenzene degradation', 'ko00071': 'Fatty acid degradation', 'ko00281': 'Geraniol degradation', 'ko01212': 'Fatty acid metabolism', 'ko00362': 'Benzoate degradation', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways', 'ko00592': 'alpha-Linolenic acid metabolism', 'ko01130': 'Biosynthesis of antibiotics'}",9.08,6.92,84,25.65,50,24.35,6313
K00135,gabD,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00650': 'Butanoate metabolism', 'ko00350': 'Tyrosine metabolism', 'ko00310': 'Lysine degradation', 'ko00760': 'Nicotinate and nicotinamide metabolism', 'ko00250': 'Alanine, aspartate and glutamate metabolism', 'ko01100': 'Metabolic pathways'}",18.29,10.94,70.77,40.88,46.97,12.15,8167
K06891,clpS,ATP-dependent Clp protease adaptor protein ClpS,,14.38,11.57,74.05,39.03,47.32,13.65,8013
K03072,secD,preprotein translocase subunit SecD,"{'ko03060': 'Protein export', 'ko03070': 'Bacterial secretion system'}",14.31,13.6,72.09,35.86,47.99,16.15,7460
K02221,yggT,YggT family protein,,21.27,16.43,62.3,46.35,43.37,10.28,8563
K00241,"sdhC, frdC","succinate dehydrogenase / fumarate reductase, cytochrome b subunit","{'ko01120': 'Microbial metabolism in diverse environments', 'ko00650': 'Butanoate metabolism', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko00020': 'Citrate cycle (TCA cycle)', 'ko00190': 'Oxidative phosphorylation', 'ko01200': 'Carbon metabolism', 'ko01100': 'Metabolic pathways', 'ko01130': 'Biosynthesis of antibiotics'}",26.83,7.43,65.74,54.57,38.67,6.76,9280
K03976,"ybaK, ebsC",Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-],,84.78,9.61,5.61,27.98,49.21,22.81,6438
K00989,rph,ribonuclease PH [EC:2.7.7.56],,17.79,14.79,67.42,42.63,45.36,12.01,8066
K02823,pyrDII,dihydroorotate dehydrogenase electron transfer subunit,"{'ko00240': 'Pyrimidine metabolism', 'ko01100': 'Metabolic pathways'}",68.85,12.19,18.96,9.63,42.64,47.73,3815
K00651,metA,homoserine O-succinyltransferase [EC:2.3.1.46],"{'ko00270': 'Cysteine and methionine metabolism', 'ko01100': 'Metabolic pathways', 'ko00920': 'Sulfur metabolism', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01230': 'Biosynthesis of amino acids'}",70.44,17.23,12.33,14.41,46.65,38.94,4421
K22132,tcdA,tRNA threonylcarbamoyladenosine dehydratase,,71.51,11.74,16.75,21.99,49.13,28.88,5523
K00228,"CPOX, hemF",coproporphyrinogen III oxidase [EC:1.3.3.3],"{'ko00860': 'Porphyrin and chlorophyll metabolism', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways'}",9.57,2.6,87.83,18.29,49.01,32.7,5337
K03615,rnfC,electron transport complex protein RnfC,,57.03,17.11,25.86,4.69,34.64,60.67,2674
K03617,rnfA,electron transport complex protein RnfA,,57.61,16.7,25.69,5.46,36.49,58.05,2970
K00970,pcnB,poly(A) polymerase [EC:2.7.7.19],{'ko03018': 'RNA degradation'},13.89,10.7,75.41,30.46,49.9,19.64,6861
K00674,dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]","{'ko01120': 'Microbial metabolism in diverse environments', 'ko01230': 'Biosynthesis of amino acids', 'ko00300': 'Lysine biosynthesis', 'ko01100': 'Metabolic pathways'}",16.83,21.1,62.07,45.03,44.16,10.81,8451
K07146,K07146,UPF0176 protein,,13.89,8.05,78.06,27.48,49.4,23.12,6389
K03152,thiJ,protein deglycase [EC:3.5.1.124],,60.82,17.05,22.13,4.77,35.13,60.1,2869
K07137,K07137,uncharacterized protein,,68.45,12.18,19.37,15.96,48.56,35.48,5014
K08296,sixA,phosphohistidine phosphatase [EC:3.1.3.-],,11.28,6.56,82.16,23.87,49.7,26.43,6206
K03116,tatA,sec-independent protein translocase protein TatA,"{'ko03060': 'Protein export', 'ko03070': 'Bacterial secretion system'}",17.78,19.37,62.85,54.77,38.72,6.51,9326
K09157,K09157,uncharacterized protein,,58.18,13.95,27.87,4.3,32.83,62.87,2552
K06980,ygfZ,tRNA-modifying protein YgfZ,,12.69,4.99,82.32,25.26,50.1,24.64,6271
K03667,hslU,ATP-dependent HslUV protease ATP-binding subunit HslU,,13.84,8.82,77.34,26.57,49.7,23.73,6293
K07166,K07166,ACT domain-containing protein,,54.92,16.81,28.27,3.7,31.27,65.03,2352
K08303,K08303,putative protease [EC:3.4.-.-],{'ko05120': 'Epithelial cell signaling in Helicobacter pylori infection'},80.4,8.66,10.94,25.91,50.29,23.8,6185
K00262,"E1.4.1.4, gdhA",glutamate dehydrogenase (NADP+) [EC:1.4.1.4],"{'ko00910': 'Nitrogen metabolism', 'ko00220': 'Arginine biosynthesis', 'ko00250': 'Alanine, aspartate and glutamate metabolism', 'ko01100': 'Metabolic pathways'}",82.03,10.94,7.03,27.19,50.71,22.1,6646
K03118,tatC,sec-independent protein translocase protein TatC,"{'ko03060': 'Protein export', 'ko03070': 'Bacterial secretion system'}",26.25,15.27,58.48,59.4,35.77,4.83,9751
K03801,lipB,lipoyl(octanoyl) transferase [EC:2.3.1.181],"{'ko00785': 'Lipoic acid metabolism', 'ko01100': 'Metabolic pathways'}",21.85,9.42,68.73,43.88,45.44,10.68,8567
K00610,pyrI,aspartate carbamoyltransferase regulatory subunit,"{'ko00240': 'Pyrimidine metabolism', 'ko00250': 'Alanine, aspartate and glutamate metabolism', 'ko01100': 'Metabolic pathways'}",45.7,23.46,30.84,1.85,23.59,74.56,1748
K15034,yaeJ,ribosome-associated protein,,8.87,5.61,85.52,20.95,50.22,28.83,5893
K06999,K06999,phospholipase/carboxylesterase,,9.26,12.73,78.01,25.72,50.43,23.85,6226
K07133,K07133,uncharacterized protein,,62.01,20.94,17.05,8.69,41.94,49.37,3677
K00681,ggt,gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13],"{'ko00480': 'Glutathione metabolism', 'ko00430': 'Taurine and hypotaurine metabolism', 'ko00460': 'Cyanoamino acid metabolism', 'ko01100': 'Metabolic pathways'}",10.76,15.72,73.52,35.2,48.64,16.16,7391
K01419,"hslV, clpQ","ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]",,12.75,9.54,77.71,26.44,49.69,23.87,6286
K03169,topB,DNA topoisomerase III [EC:5.99.1.2],,61.13,24.82,14.05,20.01,49.93,30.06,5327
K03763,polC,"DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]","{'ko00230': 'Purine metabolism', 'ko00240': 'Pyrimidine metabolism', 'ko03440': 'Homologous recombination', 'ko03030': 'DNA replication', 'ko03430': 'Mismatch repair', 'ko01100': 'Metabolic pathways'}",60.32,12.19,27.49,6.8,39.73,53.47,3068
K01006,ppdK,"pyruvate, orthophosphate dikinase [EC:2.7.9.1]","{'ko01120': 'Microbial metabolism in diverse environments', 'ko01200': 'Carbon metabolism', 'ko00620': 'Pyruvate metabolism', 'ko00710': 'Carbon fixation in photosynthetic organisms', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01100': 'Metabolic pathways'}",71.9,14.08,14.02,20.1,50.1,29.8,5817
K01638,"aceB, glcB",malate synthase [EC:2.3.3.9],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko01200': 'Carbon metabolism', 'ko00620': 'Pyruvate metabolism', 'ko00630': 'Glyoxylate and dicarboxylate metabolism', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways'}",12.31,4.04,83.65,23.54,50.51,25.95,6056
K01938,fhs,formate--tetrahydrofolate ligase [EC:6.3.4.3],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01200': 'Carbon metabolism', 'ko00670': 'One carbon pool by folate', 'ko01100': 'Metabolic pathways'}",76.04,15.27,8.69,22.93,50.8,26.27,5979
K02535,lpxC,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108],"{'ko00540': 'Lipopolysaccharide biosynthesis', 'ko01100': 'Metabolic pathways'}",6.94,3.76,89.3,13.96,47.29,38.75,4705
K03750,moeA,molybdopterin molybdotransferase [EC:2.10.1.1],"{'ko00790': 'Folate biosynthesis', 'ko01100': 'Metabolic pathways'}",16.06,19.39,64.55,43.75,44.64,11.61,8284
K14393,actP,cation/acetate symporter,,9.3,6.78,83.92,18.39,49.54,32.07,5471
K00982,glnE,[glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89],,13.6,5.86,80.54,24.36,50.18,25.46,6235
K00024,mdh,malate dehydrogenase [EC:1.1.1.37],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00620': 'Pyruvate metabolism', 'ko00710': 'Carbon fixation in photosynthetic organisms', 'ko00270': 'Cysteine and methionine metabolism', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways', 'ko01200': 'Carbon metabolism', 'ko00630': 'Glyoxylate and dicarboxylate metabolism', 'ko00680': 'Methane metabolism', 'ko01130': 'Biosynthesis of antibiotics', 'ko00020': 'Citrate cycle (TCA cycle)'}",25.3,10.96,63.74,46.56,43.38,10.06,8715
K00641,metX,homoserine O-acetyltransferase [EC:2.3.1.31],"{'ko01130': 'Biosynthesis of antibiotics', 'ko00270': 'Cysteine and methionine metabolism', 'ko01100': 'Metabolic pathways'}",11.05,9.1,79.85,26.08,50.69,23.23,6460
K00940,"ndk, NME",nucleoside-diphosphate kinase [EC:2.7.4.6],"{'ko04016': 'MAPK signaling pathway - plant', 'ko00230': 'Purine metabolism', 'ko00240': 'Pyrimidine metabolism', 'ko01100': 'Metabolic pathways', 'ko00983': 'Drug metabolism - other enzymes', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01130': 'Biosynthesis of antibiotics'}",24.09,24.56,51.35,69.23,27.93,2.84,10399
K03205,"virD4, lvhD4",type IV secretion system protein VirD4,{'ko03070': 'Bacterial secretion system'},48.62,25.78,25.6,5.24,36.5,58.26,3127
K00275,"pdxH, PNPO",pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00750': 'Vitamin B6 metabolism', 'ko01100': 'Metabolic pathways'}",14.93,10.45,74.62,31.54,49.38,19.08,7305
K06204,dksA,DnaK suppressor protein,{'ko02026': 'Biofilm formation - Escherichia coli'},8.92,3.68,87.4,16.59,49,34.41,5086
K09767,yajQ,cyclic-di-GMP-binding protein,,9.1,12.69,78.21,21.04,49.98,28.98,5485
K03613,rnfE,electron transport complex protein RnfE,,53.67,20.08,26.25,5.37,36.37,58.26,2950
K03183,ubiE,"demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]","{'ko00130': 'Ubiquinone and other terpenoid-quinone biosynthesis', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways'}",29.53,18.54,51.93,65.56,31.13,3.31,10150
K00946,thiL,thiamine-monophosphate kinase [EC:2.7.4.16],"{'ko00730': 'Thiamine metabolism', 'ko01100': 'Metabolic pathways'}",22.56,6.73,70.71,38.91,47.1,13.99,8032
K06193,phnA,protein PhnA,{'ko01120': 'Microbial metabolism in diverse environments'},10.04,10.78,79.18,21.7,50.62,27.68,5676
K00344,"qor, CRYZ",NADPH2:quinone reductase [EC:1.6.5.5],,9.64,9.53,80.83,25.29,50.49,24.22,6309
K01595,ppc,phosphoenolpyruvate carboxylase [EC:4.1.1.31],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko01200': 'Carbon metabolism', 'ko00620': 'Pyruvate metabolism', 'ko00710': 'Carbon fixation in photosynthetic organisms', 'ko00680': 'Methane metabolism', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01100': 'Metabolic pathways'}",11,15.46,73.54,27.01,51.08,21.91,6671
K07456,mutS2,DNA mismatch repair protein MutS2,{'ko03430': 'Mismatch repair'},67.63,16.89,15.48,18.12,48.98,32.9,5330
K03782,katG,catalase-peroxidase [EC:1.11.1.21],"{'ko00380': 'Tryptophan metabolism', 'ko00360': 'Phenylalanine metabolism', 'ko00940': 'Phenylpropanoid biosynthesis', 'ko00983': 'Drug metabolism - other enzymes', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways'}",7.97,6.56,85.47,18.27,49.16,32.57,5311
K08973,K08973,putative membrane protein,,9.3,3.31,87.39,16.16,47.82,36.02,5144
K00390,cysH,phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00920': 'Sulfur metabolism', 'ko01100': 'Metabolic pathways'}",14.4,19.99,65.61,37.22,47.74,15.04,7619
K01895,"ACSS, acs",acetyl-CoA synthetase [EC:6.2.1.1],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00620': 'Pyruvate metabolism', 'ko00640': 'Propanoate metabolism', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko00010': 'Glycolysis / Gluconeogenesis', 'ko01200': 'Carbon metabolism', 'ko00680': 'Methane metabolism', 'ko01100': 'Metabolic pathways', 'ko01130': 'Biosynthesis of antibiotics'}",25.73,16.65,57.62,53.39,39.55,7.06,9192
K00656,"E2.3.1.54, pflD",formate C-acetyltransferase [EC:2.3.1.54],"{'ko00640': 'Propanoate metabolism', 'ko00650': 'Butanoate metabolism', 'ko00620': 'Pyruvate metabolism', 'ko01120': 'Microbial metabolism in diverse environments', 'ko01100': 'Metabolic pathways'}",67.74,17.4,14.86,11.72,44.9,43.38,4107
K00963,"UGP2, galU, galF",UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9],"{'ko00052': 'Galactose metabolism', 'ko00040': 'Pentose and glucuronate interconversions', 'ko01100': 'Metabolic pathways', 'ko00520': 'Amino sugar and nucleotide sugar metabolism', 'ko01130': 'Biosynthesis of antibiotics', 'ko00500': 'Starch and sucrose metabolism'}",28.39,23.42,48.19,56.23,37.06,6.71,9271
K07139,K07139,uncharacterized protein,,55.11,21.01,23.88,8.05,40.87,51.08,3425
K02492,hemA,glutamyl-tRNA reductase [EC:1.2.1.70],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00860': 'Porphyrin and chlorophyll metabolism', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways'}",19.02,34.64,46.34,41.52,46.18,12.3,7820
K01878,glyQ,glycyl-tRNA synthetase alpha chain [EC:6.1.1.14],{'ko00970': 'Aminoacyl-tRNA biosynthesis'},19.53,11.5,68.97,29.54,50.4,20.06,6646
K03587,ftsI,cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4],"{'ko01501': 'beta-Lactam resistance', 'ko00550': 'Peptidoglycan biosynthesis'}",26.6,12.69,60.71,49.34,42.07,8.59,8997
K01880,"GARS, glyS1",glycyl-tRNA synthetase [EC:6.1.1.14],{'ko00970': 'Aminoacyl-tRNA biosynthesis'},68.87,11.81,19.32,19.72,50.51,29.77,5800
K09001,anmK,anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170],,9.59,14.8,75.61,24.04,50.52,25.44,6107
